"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
5.24111020844321e-113 -1.31715313696281 0.006 0.385 9.87215518862362e-109 "3" "Ctss" "cathepsin S"
4.84480623344525e-105 -1.15843863001703 0.006 0.365 9.12567702131747e-101 "3" "Lgals1" "lectin, galactose binding, soluble 1"
1.14938099315498e-84 -0.406766739803646 0.999 0.907 2.16497403870673e-80 "3" "Fth1" "ferritin heavy polypeptide 1"
2.53217544098838e-72 -0.792365771011357 0.019 0.295 4.76960566064572e-68 "3" "Sgk1" "serum/glucocorticoid regulated kinase 1"
1.04656043419093e-67 -0.842345582237819 0.088 0.365 1.97130123384203e-63 "3" "Gm38733" NA
1.47018308631781e-63 -1.11666270020248 0.01 0.255 2.76923686138823e-59 "3" "Fcer1g" "Fc receptor, IgE, high affinity I, gamma polypeptide"
4.08930152342984e-59 -0.945944556052541 0.071 0.323 7.70260834953244e-55 "3" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
1.11131766700044e-36 -1.29511119331544 0.581 0.629 2.09327795756202e-32 "3" "Cst3" "cystatin C"
6.40077743440621e-34 -0.304924908165351 0.644 0.351 1.20565043754475e-29 "3" "Cd9" "CD9 antigen"
2.6468752450316e-24 -1.00538716346353 0.327 0.444 4.98565421154152e-20 "3" "Ctsd" "cathepsin D"
2.03186015345205e-21 -0.417534010106421 0.869 0.636 3.82721178504228e-17 "3" "LOC100862446" NA
4.55867989153777e-16 -0.645606692312573 0.244 0.339 8.58672944370054e-12 "3" "Cd44" "CD44 antigen"
4.95523633346149e-15 -0.284817681002423 0.672 0.467 9.33368315770806e-11 "3" "Ftl1" "ferritin light polypeptide 1"
2.37843712471571e-10 -2.46507479638796 0.237 0.31 4.48002416811451e-06 "3" "Hbb-bs" "hemoglobin, beta adult s chain"
1.57956559102102e-07 -0.61053036684734 0.684 0.444 0.00297526974724719 "3" "Sparc" "secreted acidic cysteine rich glycoprotein"
2.20125360103178e-06 -0.279294343705106 0.358 0.247 0.0414628128290347 "3" "Igfbp7" "insulin-like growth factor binding protein 7"
1.67036557618776e-161 1.2152771559861 0.992 0.491 3.14630059930727e-157 "4" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
5.21374342792359e-67 -0.882502030101421 0.058 0.443 9.82060712083688e-63 "4" "Anxa2" "annexin A2"
1.84222010962515e-64 -1.18892151789334 0.015 0.387 3.47000579848994e-60 "4" "Cd9" "CD9 antigen"
5.23560764116296e-54 -1.53211425539469 0.159 0.474 9.86179055289455e-50 "4" "Sparc" "secreted acidic cysteine rich glycoprotein"
4.0397183554698e-48 -0.887727876654245 0.235 0.544 7.60921349436291e-44 "4" "Prdx1" "peroxiredoxin 1"
1.7013747971066e-46 -0.790440563979326 0.144 0.451 3.20470956783e-42 "4" "Selenop" "selenoprotein P"
3.4393353789572e-46 -1.20020602822408 0.144 0.447 6.47833211980379e-42 "4" "Ctsd" "cathepsin D"
1.10295373298122e-36 -0.578345187608262 0.186 0.45 2.07752365144342e-32 "4" "Bsg" "basigin"
1.66396257055762e-36 -0.974844637660071 0.096 0.35 3.13423989790233e-32 "4" "Lgals1" "lectin, galactose binding, soluble 1"
1.17480642896059e-30 -0.758634198975104 0.045 0.264 2.21286538959017e-26 "4" "Igfbp7" "insulin-like growth factor binding protein 7"
5.87216630327896e-29 -0.649042566151734 0.184 0.413 1.10608124488563e-24 "4" "Ctsb" "cathepsin B"
7.35018217270526e-29 -1.18654704690773 0.478 0.659 1.38448031405076e-24 "4" "LOC100862446" NA
8.27922024293933e-29 -1.39046386692805 0.122 0.344 1.55947392496005e-24 "4" "Apoe" "apolipoprotein E"
1.43795217555153e-24 -0.812150572806185 0.113 0.314 2.70852671786886e-20 "4" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
